country,currency,supermarket,id,ean,name,brand,category,url,image_links
ES,EUR,EROSKI-MARKETPLACE,mp11829,0045496452629,"Nintendo Switch V2 2019 videoconsola portátil 15,8 cm (6.2"") 32 GB Pantalla táctil",NINTENDO,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp11829-nintendo-switch-v2-2019-videoconsola-portatil-158-cm-62-32-gb-pantalla-tactil/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP11829_1_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp11829,0045496452629,"Nintendo Switch V2 2019 videoconsola portátil 15,8 cm (6.2"") 32 GB Pantalla táctil",NINTENDO,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp11829-nintendo-switch-v2-2019-videoconsola-portatil-158-cm-62-32-gb-pantalla-tactil/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP11829_2_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp11829,0045496452629,"Nintendo Switch V2 2019 videoconsola portátil 15,8 cm (6.2"") 32 GB Pantalla táctil",NINTENDO,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp11829-nintendo-switch-v2-2019-videoconsola-portatil-158-cm-62-32-gb-pantalla-tactil/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP11829_3_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp11829,0045496452629,"Nintendo Switch V2 2019 videoconsola portátil 15,8 cm (6.2"") 32 GB Pantalla táctil",NINTENDO,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp11829-nintendo-switch-v2-2019-videoconsola-portatil-158-cm-62-32-gb-pantalla-tactil/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP11829_4_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp11829,0045496452629,"Nintendo Switch V2 2019 videoconsola portátil 15,8 cm (6.2"") 32 GB Pantalla táctil",NINTENDO,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp11829-nintendo-switch-v2-2019-videoconsola-portatil-158-cm-62-32-gb-pantalla-tactil/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP11829_5_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp11829,0045496452629,"Nintendo Switch V2 2019 videoconsola portátil 15,8 cm (6.2"") 32 GB Pantalla táctil",NINTENDO,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp11829-nintendo-switch-v2-2019-videoconsola-portatil-158-cm-62-32-gb-pantalla-tactil/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP11829_6_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp89474,0045496424787,"Nintendo Pokémon Spada Estándar Chino simplificado, Chino tradicional, Alemán, Ing",NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp89474-nintendo-pokemon-spada-estandar-chino-simplificado-chino-tradicional-aleman-ing/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP89474_1_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp89474,0045496424787,"Nintendo Pokémon Spada Estándar Chino simplificado, Chino tradicional, Alemán, Ing",NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp89474-nintendo-pokemon-spada-estandar-chino-simplificado-chino-tradicional-aleman-ing/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP89474_2_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp89474,0045496424787,"Nintendo Pokémon Spada Estándar Chino simplificado, Chino tradicional, Alemán, Ing",NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp89474-nintendo-pokemon-spada-estandar-chino-simplificado-chino-tradicional-aleman-ing/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP89474_3_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp89474,0045496424787,"Nintendo Pokémon Spada Estándar Chino simplificado, Chino tradicional, Alemán, Ing",NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp89474-nintendo-pokemon-spada-estandar-chino-simplificado-chino-tradicional-aleman-ing/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP89474_4_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp89474,0045496424787,"Nintendo Pokémon Spada Estándar Chino simplificado, Chino tradicional, Alemán, Ing",NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp89474-nintendo-pokemon-spada-estandar-chino-simplificado-chino-tradicional-aleman-ing/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP89474_5_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp89474,0045496424787,"Nintendo Pokémon Spada Estándar Chino simplificado, Chino tradicional, Alemán, Ing",NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp89474-nintendo-pokemon-spada-estandar-chino-simplificado-chino-tradicional-aleman-ing/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP89474_6_x.webp
ES,EUR,EROSKI-MARKETPLACE,26800136,0045496321413,"Accesorio para nintendo switch 2, joy-con pareja azul claro/rojo claro NINTENDO",NINTENDO,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/26800136-accesorio-para-nintendo-switch-2-joy-con-pareja-azul-clarorojo-claro-nintendo/,https://supermercado.eroski.es/images/26800136_x.jpg
ES,EUR,EROSKI-MARKETPLACE,26800136,0045496321413,"Accesorio para nintendo switch 2, joy-con pareja azul claro/rojo claro NINTENDO",NINTENDO,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/26800136-accesorio-para-nintendo-switch-2-joy-con-pareja-azul-clarorojo-claro-nintendo/,https://supermercado.eroski.es/images/26800136_2_x.jpg
ES,EUR,EROSKI-MARKETPLACE,26800136,0045496321413,"Accesorio para nintendo switch 2, joy-con pareja azul claro/rojo claro NINTENDO",NINTENDO,Electrónica > Consolas y videojuegos > Consolas > Nintendo Switch,https://supermercado.eroski.es/es/productdetail/26800136-accesorio-para-nintendo-switch-2-joy-con-pareja-azul-clarorojo-claro-nintendo/,https://supermercado.eroski.es/images/26800136_3_x.jpg
ES,EUR,EROSKI-MARKETPLACE,mp9886,3665962001358,Bigben Interactive Hunting Simulator 2 Estándar Nintendo Switch,BIGBEN INTERACTIVE,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp9886-bigben-interactive-hunting-simulator-2-estandar-nintendo-switch/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP9886_1_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp9886,3665962001358,Bigben Interactive Hunting Simulator 2 Estándar Nintendo Switch,BIGBEN INTERACTIVE,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp9886-bigben-interactive-hunting-simulator-2-estandar-nintendo-switch/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP9886_2_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp9886,3665962001358,Bigben Interactive Hunting Simulator 2 Estándar Nintendo Switch,BIGBEN INTERACTIVE,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp9886-bigben-interactive-hunting-simulator-2-estandar-nintendo-switch/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP9886_3_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp9886,3665962001358,Bigben Interactive Hunting Simulator 2 Estándar Nintendo Switch,BIGBEN INTERACTIVE,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp9886-bigben-interactive-hunting-simulator-2-estandar-nintendo-switch/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP9886_4_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp9886,3665962001358,Bigben Interactive Hunting Simulator 2 Estándar Nintendo Switch,BIGBEN INTERACTIVE,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp9886-bigben-interactive-hunting-simulator-2-estandar-nintendo-switch/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP9886_5_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp9886,3665962001358,Bigben Interactive Hunting Simulator 2 Estándar Nintendo Switch,BIGBEN INTERACTIVE,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp9886-bigben-interactive-hunting-simulator-2-estandar-nintendo-switch/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP9886_6_x.webp
ES,EUR,EROSKI-MARKETPLACE,24947673,0045496429591,Nintendo Switch Sports para Switch,NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/24947673-nintendo-switch-sports-para-switch/,https://supermercado.eroski.es/images/24947673_x.jpg
ES,EUR,EROSKI-MARKETPLACE,24947673,0045496429591,Nintendo Switch Sports para Switch,NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/24947673-nintendo-switch-sports-para-switch/,https://supermercado.eroski.es/images/24947673_2_x.jpg
ES,EUR,EROSKI-MARKETPLACE,26481382,0045496512453,"Juego para nintendo switch, the legend of zelda echoes of wisdom NINTENDO",NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/26481382-juego-para-nintendo-switch-the-legend-of-zelda-echoes-of-wisdom-nintendo/,
ES,EUR,EROSKI-MARKETPLACE,mp6669,8447514000331,Consola Retro Puerto HDMI 64G,KARAWAN,Electrónica > Consolas y videojuegos > Consolas > Otras consolas,https://supermercado.eroski.es/es/productdetail/mp6669-consola-retro-puerto-hdmi-64g/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP6669_1_x.webp
